departamento,municipio,validos,blancos,nulos,emitidos,inscritos,sigla
LA PAZ,APOLO,625,38,45,708.0000000000001,1185,MAS_IPSP
LA PAZ,AUCAPATA,161,5,9,175,392,MAS_IPSP
LA PAZ,AYATA,157,8,18,182.99999999999997,467.00000000000006,MAS_IPSP
LA PAZ,AYO AYO,257,21,13.000000000000002,291,787.0000000000001,MAS_IPSP
LA PAZ,BATALLAS,564.9999999999999,19,28.999999999999996,612.9999999999999,1559.9999999999998,MAS_IPSP
LA PAZ,CAIROMA,331,14.000000000000002,21,366,834,MAS_IPSP
LA PAZ,CAJUATA,373.99999999999994,29.000000000000004,27.999999999999996,431.00000000000006,762,MAS_IPSP
LA PAZ,CALACOTO,208,6.999999999999999,6,221,873,MAS_IPSP
LA PAZ,CALAMARCA,456.9999999999999,14.999999999999998,20.000000000000004,492,1129,MAS_IPSP
LA PAZ,CAQUIAVIRI,178,3,6,187,642,MAS_IPSP
LA PAZ,CARANAVI,1800.9999999999998,71,122.99999999999999,1995,4766,MAS_IPSP
LA PAZ,CATACORA,54,0,1,55,166,MAS_IPSP
LA PAZ,CHACARILLA,93,1,3,97,210,MAS_IPSP
LA PAZ,CHARAÑA,20,1,2,23,318,MAS_IPSP
LA PAZ,CHARAZANI,335,9.000000000000002,39,383,693,MAS_IPSP
LA PAZ,CHUA COCANI,89,4,0,93,372,MAS_IPSP
LA PAZ,CHULUMANI,669,15.000000000000002,42,726,1476,MAS_IPSP
LA PAZ,CHUMA,346.99999999999994,18,24,389,826,MAS_IPSP
LA PAZ,COLLANA,113,4,2,119,232,MAS_IPSP
LA PAZ,COLQUENCHA,244,7,33,284,552,MAS_IPSP
LA PAZ,COLQUIRI,519.0000000000001,98,72.99999999999999,690,1901.9999999999995,MAS_IPSP
LA PAZ,COMANCHE,153,10,12,175,358,MAS_IPSP
LA PAZ,COMBAYA,101,5,10,116,237,MAS_IPSP
LA PAZ,COPACABANA,384,10,13,407,1364,MAS_IPSP
LA PAZ,CORIPATA,1125.0000000000002,35,74,1234,2191.0000000000005,MAS_IPSP
LA PAZ,COROCORO,336,8,18,362,845,MAS_IPSP
LA PAZ,COROICO,846,31,68.00000000000001,945,1927.9999999999995,MAS_IPSP
LA PAZ,CURVA,118,0,0,118,169,MAS_IPSP
LA PAZ,DESAGUADERO,102,7,6.999999999999999,116,415,MAS_IPSP
LA PAZ,EL ALTO,25563.999999999985,819.0000000000009,2366.999999999999,28749.999999999996,94116.99999999997,MAS_IPSP
LA PAZ,ESCOMA,243,3,19.999999999999996,266,581,MAS_IPSP
LA PAZ,GUANAY,247.99999999999997,2.0000000000000004,17,267,715.9999999999999,MAS_IPSP
LA PAZ,HUARINA,93,3,6,102,562,MAS_IPSP
LA PAZ,HUATAJATA,78,7,7,92,316,MAS_IPSP
LA PAZ,HUMANATA,194,2,5,201,413,MAS_IPSP
LA PAZ,ICHOCA,119,4,9,132,258,MAS_IPSP
LA PAZ,INQUISIVI,596,18.999999999999996,21,636,1315.9999999999998,MAS_IPSP
LA PAZ,IRUPANA,556,17,36,609,1317.9999999999998,MAS_IPSP
LA PAZ,IXIAMAS,224,4,3,231,636,MAS_IPSP
LA PAZ,JESÚS DE MACHAKA,351.99999999999994,14.999999999999998,35,401.99999999999994,1025,MAS_IPSP
LA PAZ,SAN ANDRÉS DE MACHACA,67,1,8,76,334,MAS_IPSP
LA PAZ,LA ASUNTA,1450.0000000000002,35,118.00000000000001,1602.9999999999998,3172.000000000001,MAS_IPSP
LA PAZ,LAJA,374.99999999999994,11,29,415,1232.9999999999998,MAS_IPSP
LA PAZ,LURIBAY,671,10,14.000000000000002,695.0000000000001,1536.0000000000002,MAS_IPSP
LA PAZ,MALLA,50,0,0,50,83,MAS_IPSP
LA PAZ,MAPIRI,161,14,8,183,728,MAS_IPSP
LA PAZ,MECAPACA,472,7.999999999999999,7,487,1436.0000000000002,MAS_IPSP
LA PAZ,MOCOMOCO,366,66,30.999999999999996,462.99999999999994,977.0000000000001,MAS_IPSP
LA PAZ,NAZACARA DE PACAJES,39,4,5,48,88,MAS_IPSP
LA PAZ,NUESTRA SEÑORA DE LA PAZ,29111.999999999993,1192.0000000000014,3341.0000000000027,33645,84761.99999999996,MAS_IPSP
LA PAZ,PALCA,606,18,15,639,1333,MAS_IPSP
LA PAZ,PALOS BLANCOS,1023,30,82,1135,2435,MAS_IPSP
LA PAZ,PAPEL PAMPA,563,22,15,600,1078.9999999999998,MAS_IPSP
LA PAZ,PATACAMAYA,536,15.999999999999998,29.000000000000004,581,1447,MAS_IPSP
LA PAZ,PELECHUCO,114,2,3,119,255,MAS_IPSP
LA PAZ,PUCARANI,870,37,108.99999999999999,1015.9999999999999,2242,MAS_IPSP
LA PAZ,PUERTO ACOSTA,365,11,12,388,871,MAS_IPSP
LA PAZ,PUERTO MAYOR DE CARABUCO,172,2.0000000000000004,3,177,707,MAS_IPSP
LA PAZ,PUERTO MAYOR DE GUAQUI,270,12,23,305,771,MAS_IPSP
LA PAZ,PUERTO PEREZ,300,11,18,329,689,MAS_IPSP
LA PAZ,QUIABAYA,39,1,5,45,155,MAS_IPSP
LA PAZ,QUIME,163,9,12,184,534,MAS_IPSP
LA PAZ,SAN BUENAVENTURA,303,17,9,329,934.9999999999999,MAS_IPSP
LA PAZ,SAN PEDRO DE CURAHUARA,693.0000000000001,17,19.999999999999996,730,1089,MAS_IPSP
LA PAZ,SAN PEDRO DE TIQUINA,158,6,10,174,455,MAS_IPSP
LA PAZ,SANTIAGO DE CALLAPA,79,6,4,89,338,MAS_IPSP
LA PAZ,SANTIAGO DE HUATA,130,6,7,143,416,MAS_IPSP
LA PAZ,SANTIAGO DE MACHACA,39,1,4,44,161,MAS_IPSP
LA PAZ,SAPAHAQUI,446,8.000000000000002,9.999999999999998,464,1383,MAS_IPSP
LA PAZ,SICASICA,1488,63.00000000000001,81,1632,2918.000000000001,MAS_IPSP
LA PAZ,SORATA,641,42,23,706,1567,MAS_IPSP
LA PAZ,TACACOMA,79,5,0,84,295,MAS_IPSP
LA PAZ,TARACO,104,2,3,109,369,MAS_IPSP
LA PAZ,TEOPONTE,166,5,4,175,456,MAS_IPSP
LA PAZ,TIAHUANACU,362,16,29,407,964,MAS_IPSP
LA PAZ,TIPUANI,191,8,10,209,718,MAS_IPSP
LA PAZ,TITO YUPANQUI,38,2,0,40,133,MAS_IPSP
LA PAZ,UMALA,300,10,12.999999999999998,323,640,MAS_IPSP
LA PAZ,VIACHA,2263,79.99999999999999,225.00000000000003,2568,8540,MAS_IPSP
LA PAZ,VILLA ANCORAIMES,149,6,6,161,616,MAS_IPSP
LA PAZ,VILLA LIBERTAD LICOMA,136,19,6,161,312,MAS_IPSP
LA PAZ,WALDO BALLIVIAN,153,5,3,161,307,MAS_IPSP
LA PAZ,YACO,442.99999999999994,9,26,478,775,MAS_IPSP
LA PAZ,YANACACHI,127,6,3,136,415,MAS_IPSP
ORURO,ANDAMARCA,520,14,6,540,1018,MAS_IPSP
ORURO,ANTEQUERA,116,9,7,132,359,MAS_IPSP
ORURO,BELÉN DE ANDAMARCA,153,8,11,172,306,MAS_IPSP
ORURO,CARACOLLO,1144,57.000000000000014,39,1239.9999999999998,3058.0000000000005,MAS_IPSP
ORURO,CHALLAPATA,2622,167.00000000000003,168,2957.000000000001,5287,MAS_IPSP
ORURO,CHIPAYA,72,6,3,81,142,MAS_IPSP
ORURO,CHOQUECOTA,176,3,4,183,361,MAS_IPSP
ORURO,COIPASA,20,5,5,30,84,MAS_IPSP
ORURO,CORQUE,346,6,16,368.00000000000006,1138,MAS_IPSP
ORURO,CURAHUARA DE CARANGAS,255,15,10,280,720,MAS_IPSP
ORURO,EL CHORO,201,18,7,226,442,MAS_IPSP
ORURO,ESCARA,92,6,2,100,134,MAS_IPSP
ORURO,ESMERALDA,62,1,2,65,139,MAS_IPSP
ORURO,EUCALIPTUS,142,3,12,157,438,MAS_IPSP
ORURO,HUACHACALLA,50,6,9,65,227,MAS_IPSP
ORURO,HUANUNI,1511.9999999999998,97.00000000000003,96,1705.0000000000002,4647,MAS_IPSP
ORURO,HUAYLLAMARCA,348,19,8,375,772,MAS_IPSP
ORURO,LA RIVERA,28,3,0,31,106,MAS_IPSP
ORURO,MACHACAMARCA,247,14,8,269,741,MAS_IPSP
ORURO,ORURO,6819,560.0000000000003,1172.9999999999998,8552.000000000005,28846.000000000015,MAS_IPSP
ORURO,PAMPA AULLAGAS,327,13,8,348,602,MAS_IPSP
ORURO,PARIA (SORACACHI),978.0000000000001,34,48.99999999999999,1061,2183,MAS_IPSP
ORURO,PAZÑA,337,23,9,369,824,MAS_IPSP
ORURO,POOPO,253,16,9,278,806,MAS_IPSP
ORURO,SABAYA,64,8,5,77,399,MAS_IPSP
ORURO,SALINAS DE GARCI MENDOZA,207,8,7,222,753.0000000000001,MAS_IPSP
ORURO,SANTIAGO DE HUARI,332,16,11,359,934,MAS_IPSP
ORURO,SANTUARIO DE QUILLACAS,289,9,1,299,609,MAS_IPSP
ORURO,TODOS SANTOS,0,0,0,0,37,MAS_IPSP
ORURO,TOLEDO,213,13.999999999999998,13.999999999999998,241,818,MAS_IPSP
ORURO,TOTORA,458,12,9,479,830,MAS_IPSP
ORURO,TURCO,468,17,8,493,839,MAS_IPSP
PANDO,BELLA FLOR,307,16,17.000000000000004,340,724,MAS_IPSP
PANDO,BOLPEBRA,216,17,17,250.00000000000003,537,MAS_IPSP
PANDO,COBIJA,2129.999999999999,177,243.99999999999994,2551,6426.999999999998,MAS_IPSP
PANDO,FILADELFIA,595,54.999999999999986,36,686,1311.9999999999998,MAS_IPSP
PANDO,INGAVI,76,8,1,85,271,MAS_IPSP
PANDO,NUEVA ESPERANZA,189,8,8,205,387,MAS_IPSP
PANDO,PORVENIR,616,37,52,705,1375,MAS_IPSP
PANDO,PUERTO GONZALO MORENO,832,34,25,891,1489.9999999999998,MAS_IPSP
PANDO,PUERTO RICO,463,51.00000000000001,26,540,1293,MAS_IPSP
PANDO,SAN LORENZO,911,75,71,1057,1654,MAS_IPSP
PANDO,SAN PEDRO,2,1,1,4,64,MAS_IPSP
PANDO,SANTA ROSA,246,18,7.999999999999999,272,494,MAS_IPSP
PANDO,SANTOS MERCADO,132,11,6,149,386,MAS_IPSP
PANDO,SENA,601,77.00000000000001,41,719,1445,MAS_IPSP
PANDO,VILLA NUEVA,201,12,24,237,467,MAS_IPSP
POTOSÍ,ACASIO,356,2,25,383,659,MAS_IPSP
POTOSÍ,ARAMPAMPA,379,6,5,390,545,MAS_IPSP
POTOSÍ,ATOCHA,483.99999999999994,28,21,533,1306,MAS_IPSP
POTOSÍ,BETANZOS,2220,92.00000000000001,89.00000000000001,2401,4164.000000000001,MAS_IPSP
POTOSÍ,CAIZA D,450.99999999999994,41,34,526,1083,MAS_IPSP
POTOSÍ,CARIPUYO,622,47,47.99999999999999,717,1292,MAS_IPSP
POTOSÍ,CHAQUI,185,8,10,203,489,MAS_IPSP
POTOSÍ,CHAYANTA,457.99999999999994,13,22,493,1075,MAS_IPSP
POTOSÍ,CHUQUIHUTA AYLLU JUCUMANI,328,16,17,361,759,MAS_IPSP
POTOSÍ,CKOCHAS,1240,33,61.00000000000001,1333.9999999999998,1997.9999999999998,MAS_IPSP
POTOSÍ,COLCHA K,145,10,8,163,682,MAS_IPSP
POTOSÍ,COLQUECHACA,2071,113,171.00000000000003,2355,4214.999999999999,MAS_IPSP
POTOSÍ,COTAGAITA,741,32,22,795,1655.9999999999998,MAS_IPSP
POTOSÍ,LLALLAGUA,1456.0000000000002,115.00000000000003,146,1716.9999999999998,4612.999999999998,MAS_IPSP
POTOSÍ,LLICA,215,6,15,236,519,MAS_IPSP
POTOSÍ,MOJINETE,57,1,0,58,94,MAS_IPSP
POTOSÍ,OCURI,113,2,13,128,416,MAS_IPSP
POTOSÍ,POCOATA,1115,24,19,1158,1919.0000000000002,MAS_IPSP
POTOSÍ,PORCO,46,1,6,53,299,MAS_IPSP
POTOSÍ,POTOSÍ,3063,282,483.9999999999999,3828.999999999999,11207,MAS_IPSP
POTOSÍ,PUNA (VILLA TALAVERA),987,61.00000000000001,36.00000000000001,1084.0000000000002,2344,MAS_IPSP
POTOSÍ,RAVELO,438.9999999999999,40,43,521.9999999999999,1361.9999999999998,MAS_IPSP
POTOSÍ,SACACA,2101.0000000000005,22.000000000000004,26,2149,2666,MAS_IPSP
POTOSÍ,SAN AGUSTIN,221,10,13.000000000000002,244,409,MAS_IPSP
